"U:0","U:1","U:2","p","total(p)","Points:0","Points:1","Points:2"
1.0297,0.0051722,9.9868e-25,3.1213,4.3818,0.6,-0.1212,0
1.0296,0.0052127,1.1587e-24,3.1173,4.3769,0.6,-0.1208,0
1.0295,0.0052532,1.3188e-24,3.1134,4.3721,0.6,-0.1204,0
1.0294,0.0052937,1.4788e-24,3.1095,4.3672,0.6,-0.12,0
1.0293,0.0053369,-7.9319e-24,3.1056,4.3623,0.6,-0.1196,0
1.0291,0.0053801,-1.7343e-23,3.1016,4.3575,0.6,-0.1192,0
1.029,0.0054232,-2.6754e-23,3.0977,4.3526,0.6,-0.1188,0
1.0289,0.0054664,-3.6165e-23,3.0938,4.3477,0.6,-0.1184,0
1.0288,0.0055096,-4.5576e-23,3.0898,4.3428,0.6,-0.118,0
1.0286,0.0055527,-5.4987e-23,3.0859,4.338,0.6,-0.1176,0
1.0285,0.0055959,-6.4398e-23,3.082,4.3331,0.6,-0.1172,0
1.0284,0.0056391,-7.3808e-23,3.0781,4.3282,0.6,-0.1168,0
1.0282,0.0056842,-7.0643e-23,3.0741,4.3233,0.6,-0.1164,0
1.0281,0.0057303,-6.1213e-23,3.0702,4.3184,0.6,-0.116,0
1.0279,0.0057764,-5.1783e-23,3.0663,4.3136,0.6,-0.1156,0
1.0278,0.0058225,-4.2353e-23,3.0623,4.3087,0.6,-0.1152,0
1.0277,0.0058686,-3.2923e-23,3.0584,4.3038,0.6,-0.1148,0
1.0275,0.0059147,-2.3493e-23,3.0545,4.2989,0.6,-0.1144,0
1.0274,0.0059608,-1.4063e-23,3.0506,4.294,0.6,-0.114,0
1.0272,0.0060069,-4.6325e-24,3.0466,4.2891,0.6,-0.1136,0
1.0271,0.006054,1.6623e-24,3.0427,4.2842,0.6,-0.1132,0
1.0269,0.0061033,1.6631e-24,3.0388,4.2793,0.6,-0.1128,0
1.0267,0.0061525,1.6639e-24,3.0349,4.2744,0.6,-0.1124,0
1.0266,0.0062018,1.6646e-24,3.0309,4.2695,0.6,-0.112,0
1.0264,0.0062511,1.6654e-24,3.027,4.2646,0.6,-0.1116,0
1.0263,0.0063004,1.6662e-24,3.0231,4.2596,0.6,-0.1112,0
1.0261,0.0063496,1.667e-24,3.0192,4.2547,0.6,-0.1108,0
1.0259,0.0063989,1.6677e-24,3.0152,4.2498,0.6,-0.1104,0
1.0258,0.0064482,1.6685e-24,3.0113,4.2449,0.6,-0.11,0
1.0256,0.0065009,1.6694e-24,3.0074,4.24,0.6,-0.1096,0
1.0254,0.0065536,1.6703e-24,3.0034,4.235,0.6,-0.1092,0
1.0252,0.0066064,1.6713e-24,2.9995,4.2301,0.6,-0.1088,0
1.025,0.0066591,1.6722e-24,2.9956,4.2251,0.6,-0.1084,0
1.0248,0.0067118,1.6731e-24,2.9917,4.2202,0.6,-0.108,0
1.0246,0.0067646,1.674e-24,2.9877,4.2152,0.6,-0.1076,0
1.0244,0.0068173,1.675e-24,2.9838,4.2103,0.6,-0.1072,0
1.0243,0.00687,1.6759e-24,2.9799,4.2054,0.6,-0.1068,0
1.0241,0.0069254,1.6769e-24,2.976,4.2004,0.6,-0.1064,0
1.0238,0.0069821,1.678e-24,2.972,4.1954,0.6,-0.106,0
1.0236,0.0070388,1.6791e-24,2.9681,4.1904,0.6,-0.1056,0
1.0234,0.0070955,1.6801e-24,2.9642,4.1855,0.6,-0.1052,0
1.0232,0.0071522,1.6812e-24,2.9603,4.1805,0.6,-0.1048,0
1.023,0.0072089,1.6823e-24,2.9563,4.1755,0.6,-0.1044,0
1.0227,0.0072655,1.6833e-24,2.9524,4.1705,0.6,-0.104,0
1.0225,0.0073222,1.6844e-24,2.9485,4.1656,0.6,-0.1036,0
1.0223,0.0073804,4.6762e-24,2.9446,4.1606,0.6,-0.1032,0
1.022,0.0074416,1.3672e-23,2.9406,4.1555,0.6,-0.1028,0
