"U:0","U:1","U:2","arc_length","p","total(p)","Points:0","Points:1","Points:2"
0.6183,0.02327,1.4269e-22,0.256,1.4085,1.9199,0.6,0.056,0
0.62377,0.023245,1.619e-22,0.258,1.3889,1.9005,0.6,0.058,0
0.62962,0.023191,1.3316e-22,0.26,1.3693,1.8814,0.6,0.06,0
0.63657,0.023052,5.7522e-23,0.262,1.3498,1.8633,0.6,0.062,0
0.64392,0.022885,-3.5601e-24,0.264,1.3303,1.8454,0.6,0.064,0
0.65208,0.02266,-3.1051e-23,0.266,1.3107,1.8283,0.6,0.066,0
0.66102,0.022381,-2.5471e-23,0.268,1.2912,1.8119,0.6,0.068,0
0.67038,0.022073,-1.9998e-24,0.27,1.2716,1.7959,0.6,0.07,0
0.6809,0.021684,-1.587e-24,0.272,1.2521,1.7811,0.6,0.072,0
0.69179,0.021267,-1.2718e-24,0.274,1.2326,1.7666,0.6,0.074,0
0.70343,0.020793,-3.2502e-25,0.276,1.213,1.7529,0.6,0.076,0
0.71569,0.02026,0,0.278,1.1935,1.7399,0.6,0.078,0
0.72829,0.019696,0,0.28,1.1739,1.7272,0.6,0.08,0
0.74162,0.019039,-1.4847e-24,0.282,1.1543,1.7156,0.6,0.082,0
0.75512,0.01835,-2.4775e-24,0.284,1.1348,1.7042,0.6,0.084,0
0.76895,0.017595,-2.4415e-24,0.286,1.1152,1.6933,0.6,0.086,0
0.78294,0.016783,-1.4649e-24,0.288,1.0956,1.6829,0.6,0.088,0
0.79701,0.01594,-2.0978e-26,0.29,1.076,1.6726,0.6,0.09,0
0.81105,0.015027,-1.241e-24,0.292,1.0564,1.6627,0.6,0.092,0
0.825,0.0141,-1.9749e-24,0.294,1.0368,1.6528,0.6,0.094,0
0.83876,0.013141,-1.6617e-24,0.296,1.0172,1.643,0.6,0.096,0
0.85217,0.012173,-1.6457e-24,0.298,0.9976,1.6331,0.6,0.098,0
0.86539,0.0112,-1.7795e-24,0.3,0.97798,1.6231,0.6,0.1,0
0.87786,0.010241,2.8192e-23,0.302,0.95836,1.6126,0.6,0.102,0
0.88999,0.0092921,4.9315e-23,0.304,0.93873,1.6019,0.6,0.104,0
0.90146,0.008367,5.0649e-23,0.306,0.91909,1.5906,0.6,0.106,0
0.91216,0.007473,1.7855e-23,0.308,0.89946,1.5787,0.6,0.108,0
0.92244,0.0065956,-3.3056e-23,0.31,0.87982,1.5664,0.6,0.11,0
0.93145,0.0057704,-6.8448e-23,0.312,0.86017,1.5528,0.6,0.112,0
0.94001,0.0049636,-8.5818e-23,0.314,0.84053,1.5389,0.6,0.114,0
0.94766,0.0041942,-6.553e-23,0.316,0.82088,1.5239,0.6,0.116,0
0.95449,0.003462,-3.5054e-23,0.318,0.80123,1.5081,0.6,0.118,0
0.96087,0.0027493,7.4273e-25,0.32,0.78158,1.4919,0.6,0.12,0
0.96612,0.0020956,-2.2228e-23,0.322,0.76194,1.4744,0.6,0.122,0
0.97104,0.0014622,-3.8479e-23,0.324,0.7423,1.4565,0.6,0.124,0
0.9753,0.00087053,-3.9167e-23,0.326,0.72265,1.4379,0.6,0.126,0
0.97902,0.00031999,-5.1756e-23,0.328,0.70301,1.4187,0.6,0.128,0
0.98246,-0.000209,-7.0621e-23,0.33,0.68338,1.3992,0.6,0.13,0
0.98524,-0.00067683,-7.0915e-23,0.332,0.66375,1.3789,0.6,0.132,0
0.98784,-0.0011253,-5.1468e-23,0.334,0.64413,1.3585,0.6,0.134,0
0.99007,-0.0015339,9.6472e-24,0.336,0.62451,1.3376,0.6,0.136,0
0.99202,-0.0019062,3.096e-23,0.338,0.60489,1.3163,0.6,0.138,0
0.99381,-0.002259,3.0987e-23,0.34,0.58527,1.2949,0.6,0.14,0
0.99526,-0.0025607,2.9155e-23,0.342,0.56566,1.2731,0.6,0.142,0
0.99662,-0.0028467,2.788e-23,0.344,0.54605,1.2512,0.6,0.144,0
0.99777,-0.0031009,2.7903e-23,0.346,0.52645,1.2291,0.6,0.146,0
0.99878,-0.0033277,1.6957e-23,0.348,0.50685,1.2068,0.6,0.148,0
0.9997,-0.0035402,1.9252e-25,0.35,0.48725,1.1844,0.6,0.15,0
1.0004,-0.0037163,2.0435e-25,0.352,0.46766,1.1617,0.6,0.152,0
1.0011,-0.0038818,-3.6406e-24,0.354,0.44807,1.139,0.6,0.154,0
1.0017,-0.0040257,-1.601e-23,0.356,0.42848,1.1162,0.6,0.156,0
1.0022,-0.0041513,-2.7803e-23,0.358,0.40889,1.0933,0.6,0.158,0
1.0026,-0.0042673,-3.9287e-23,0.36,0.38931,1.0703,0.6,0.16,0
1.0029,-0.0043594,-2.7158e-23,0.362,0.36973,1.0472,0.6,0.162,0
1.0032,-0.0044443,-1.522e-23,0.364,0.35015,1.024,0.6,0.164,0
1.0034,-0.004515,-4.1468e-24,0.366,0.33057,1.0008,0.6,0.166,0
1.0035,-0.0045736,-2.8667e-25,0.368,0.311,0.97746,0.6,0.168,0
1.0036,-0.0046258,-1.8924e-25,0.37,0.29142,0.95411,0.6,0.17,0
1.0037,-0.0046618,-6.9225e-24,0.372,0.27185,0.93064,0.6,0.172,0
1.0037,-0.0046931,-9.6139e-24,0.374,0.25227,0.90714,0.6,0.174,0
1.0036,-0.0047147,-3.7984e-24,0.376,0.23271,0.88357,0.6,0.176,0
1.0035,-0.0047283,2.8267e-24,0.378,0.21314,0.85994,0.6,0.178,0
1.0033,-0.0047377,9.859e-24,0.38,0.19357,0.83628,0.6,0.18,0
1.0031,-0.004738,8.38e-26,0.382,0.174,0.81252,0.6,0.182,0
1.0028,-0.0047353,-6.5631e-24,0.384,0.15444,0.78875,0.6,0.184,0
1.0025,-0.0047264,-6.6106e-24,0.386,0.13487,0.76491,0.6,0.186,0
1.0022,-0.0047134,-3.9964e-24,0.388,0.1153,0.74104,0.6,0.188,0
1.0019,-0.0046982,-3.2731e-26,0.39,0.095735,0.71715,0.6,0.19,0
1.0015,-0.0047916,1.1987e-24,0.392,0.076126,0.69317,0.6,0.192,0
1.0011,-0.0048319,2.0167e-24,0.394,0.056612,0.66931,0.6,0.194,0
1.0008,-0.0047645,2.019e-24,0.396,0.037292,0.64568,0.6,0.196,0
1.0004,-0.0028464,1.213e-24,0.398,0.018511,0.62268,0.6,0.198,0
1,0,0,0.4,0,0.6,0.6,0.2,0
