"U:0","U:1","U:2","arc_length","p","total(p)","Points:0","Points:1","Points:2"
0.66686,0.024364,-2.1102e-24,0.27,1.2706,1.792,0.6,0.07,0
0.67778,0.024039,-1.6774e-24,0.272,1.2511,1.7774,0.6,0.072,0
0.68916,0.023672,-1.3443e-24,0.274,1.2316,1.7633,0.6,0.074,0
0.7015,0.023221,-3.4357e-25,0.276,1.2121,1.7502,0.6,0.076,0
0.71464,0.022687,0,0.278,1.1925,1.7379,0.6,0.078,0
0.72821,0.022109,0,0.28,1.173,1.7262,0.6,0.08,0
0.74273,0.021404,-1.5785e-24,0.282,1.1535,1.7156,0.6,0.082,0
0.75746,0.020656,-2.6343e-24,0.284,1.1339,1.7053,0.6,0.084,0
0.77261,0.019821,-2.5964e-24,0.286,1.1143,1.6958,0.6,0.086,0
0.78793,0.018911,-1.5581e-24,0.288,1.0948,1.6866,0.6,0.088,0
0.80333,0.017959,-2.2315e-26,0.29,1.0752,1.6777,0.6,0.09,0
0.81861,0.016915,-1.3114e-24,0.292,1.0556,1.6691,0.6,0.092,0
0.83373,0.015847,-2.0878e-24,0.294,1.036,1.6606,0.6,0.094,0
0.84853,0.014734,-1.7589e-24,0.296,1.0164,1.6519,0.6,0.096,0
0.8628,0.013597,-1.7349e-24,0.298,0.99676,1.643,0.6,0.098,0
0.87679,0.012446,-1.8644e-24,0.3,0.97714,1.634,0.6,0.1,0
0.88968,0.011286,2.9497e-23,0.302,0.95751,1.6241,0.6,0.102,0
0.90212,0.010129,5.16e-23,0.304,0.93788,1.6139,0.6,0.104,0
0.91364,0.0089803,5.2998e-23,0.306,0.91823,1.6029,0.6,0.106,0
0.92418,0.0078507,1.8708e-23,0.308,0.89859,1.5909,0.6,0.108,0
0.93419,0.0067313,-3.4529e-23,0.31,0.87895,1.5784,0.6,0.11,0
0.94267,0.0056568,-7.1434e-23,0.312,0.8593,1.5644,0.6,0.112,0
0.95067,0.0046026,-8.9535e-23,0.314,0.83965,1.5499,0.6,0.114,0
0.95766,0.00359,-6.8343e-23,0.316,0.82001,1.5343,0.6,0.116,0
0.96379,0.0026266,-3.6552e-23,0.318,0.80036,1.5178,0.6,0.118,0
0.96948,0.0016889,7.7373e-25,0.32,0.78072,1.5008,0.6,0.12,0
0.97407,0.00083548,-2.3207e-23,0.322,0.76108,1.4826,0.6,0.122,0
0.97836,1.1176e-05,-4.0171e-23,0.324,0.74144,1.4641,0.6,0.124,0
0.98203,-0.00075376,-4.0888e-23,0.326,0.72181,1.4448,0.6,0.126,0
0.98522,-0.0014617,-5.4057e-23,0.328,0.70218,1.425,0.6,0.128,0
0.98815,-0.0021398,-7.3792e-23,0.33,0.68255,1.4049,0.6,0.13,0
0.99049,-0.0027343,-7.41e-23,0.332,0.66294,1.3842,0.6,0.132,0
0.99268,-0.0033026,-5.3744e-23,0.334,0.64333,1.3633,0.6,0.134,0
0.99454,-0.0038172,1.0226e-23,0.336,0.62372,1.3419,0.6,0.136,0
0.99614,-0.0042845,3.2534e-23,0.338,0.60412,1.3203,0.6,0.138,0
0.99762,-0.0047265,3.256e-23,0.34,0.58451,1.2986,0.6,0.14,0
0.99878,-0.0051044,3.0704e-23,0.342,0.56492,1.2765,0.6,0.142,0
0.99986,-0.0054631,2.9415e-23,0.344,0.54533,1.2542,0.6,0.144,0
1.0008,-0.0057828,2.9441e-23,0.346,0.52575,1.2318,0.6,0.146,0
1.0015,-0.0060696,1.7891e-23,0.348,0.50616,1.2093,0.6,0.148,0
1.0022,-0.0063392,2.0001e-25,0.35,0.48659,1.1866,0.6,0.15,0
1.0027,-0.0065658,2.1422e-25,0.352,0.46701,1.1637,0.6,0.152,0
1.0032,-0.0067799,-3.8906e-24,0.354,0.44744,1.1408,0.6,0.154,0
1.0036,-0.0069686,-1.7094e-23,0.356,0.42787,1.1178,0.6,0.156,0
1.0038,-0.0071361,-2.9678e-23,0.358,0.40831,1.0946,0.6,0.158,0
1.0041,-0.0072924,-4.193e-23,0.36,0.38875,1.0714,0.6,0.16,0
1.0042,-0.0074211,-2.8982e-23,0.362,0.36919,1.0481,0.6,0.162,0
1.0042,-0.0075417,-1.6236e-23,0.364,0.34963,1.0247,0.6,0.164,0
1.0042,-0.0076462,-4.4088e-24,0.366,0.33008,1.0012,0.6,0.166,0
1.0041,-0.0077376,-2.8705e-25,0.368,0.31052,0.97763,0.6,0.168,0
1.004,-0.0078221,-1.8483e-25,0.37,0.29097,0.95404,0.6,0.17,0
1.0039,-0.0078904,-7.1834e-24,0.372,0.27142,0.93038,0.6,0.172,0
1.0037,-0.0079542,-1e-23,0.374,0.25187,0.9067,0.6,0.174,0
1.0035,-0.008009,-4.015e-24,0.376,0.23232,0.88299,0.6,0.176,0
1.0032,-0.0080568,2.8447e-24,0.378,0.21278,0.85927,0.6,0.178,0
1.003,-0.008101,1.0145e-23,0.38,0.19323,0.83553,0.6,0.18,0
1.0027,-0.0081374,1.3826e-25,0.382,0.17369,0.81177,0.6,0.182,0
1.0025,-0.0081703,-6.6648e-24,0.384,0.15415,0.78801,0.6,0.184,0
1.0022,-0.0081965,-6.7098e-24,0.386,0.13461,0.76424,0.6,0.186,0
1.002,-0.0082208,-4.0548e-24,0.388,0.11506,0.74047,0.6,0.188,0
1.0017,-0.0082441,-3.0898e-26,0.39,0.095519,0.7167,0.6,0.19,0
1.0014,-0.0083711,1.2128e-24,0.392,0.075939,0.6929,0.6,0.192,0
1.0012,-0.0084404,2.0389e-24,0.394,0.056463,0.66922,0.6,0.194,0
1.0009,-0.008393,2.0412e-24,0.396,0.037198,0.64578,0.6,0.196,0
1.0005,-0.0050284,1.2263e-24,0.398,0.018466,0.62278,0.6,0.198,0
1,0,0,0.4,0,0.6,0.6,0.2,0
