"U:0","U:1","U:2","arc_length","p","total(p)","Points:0","Points:1","Points:2"
0.97076,0.00056934,-2.0561e-23,0.322,0.76151,1.4793,0.6,0.122,0
0.97649,-5.4245e-06,-3.5592e-23,0.324,0.74185,1.4623,0.6,0.124,0
0.98148,-0.00054614,-3.6228e-23,0.326,0.72218,1.4446,0.6,0.126,0
0.98587,-0.001053,-4.7908e-23,0.328,0.70252,1.4262,0.6,0.128,0
0.98993,-0.0015422,-6.5412e-23,0.33,0.68286,1.4074,0.6,0.13,0
0.99323,-0.0019791,-6.5685e-23,0.332,0.66322,1.3878,0.6,0.132,0
0.99632,-0.0023991,-4.7659e-23,0.334,0.64358,1.3679,0.6,0.134,0
0.99897,-0.0027838,8.9862e-24,0.336,0.62395,1.3475,0.6,0.136,0
1.0013,-0.0031356,2.8741e-23,0.338,0.60431,1.3267,0.6,0.138,0
1.0034,-0.0034698,2.8766e-23,0.34,0.58468,1.3057,0.6,0.14,0
1.0051,-0.0037572,2.71e-23,0.342,0.56505,1.2843,0.6,0.142,0
1.0067,-0.0040301,2.5941e-23,0.344,0.54543,1.2626,0.6,0.144,0
1.0081,-0.0042737,2.5962e-23,0.346,0.52582,1.2408,0.6,0.146,0
1.0093,-0.004492,1.5777e-23,0.348,0.50621,1.2186,0.6,0.148,0
1.0103,-0.0046969,1.7816e-25,0.35,0.4866,1.1964,0.6,0.15,0
1.0112,-0.0048684,1.903e-25,0.352,0.46701,1.1739,0.6,0.152,0
1.012,-0.00503,-3.4213e-24,0.354,0.44741,1.1513,0.6,0.154,0
1.0126,-0.0051717,-1.5038e-23,0.356,0.42781,1.1286,0.6,0.156,0
1.0131,-0.0052967,-2.6143e-23,0.358,0.40822,1.1057,0.6,0.158,0
1.0136,-0.0054129,-3.6973e-23,0.36,0.38863,1.0828,0.6,0.16,0
1.0139,-0.0055072,-2.5583e-23,0.362,0.36905,1.0597,0.6,0.162,0
1.0142,-0.0055948,-1.4357e-23,0.364,0.34947,1.0365,0.6,0.164,0
1.0143,-0.005669,-3.9124e-24,0.366,0.32989,1.0132,0.6,0.166,0
1.0144,-0.0057312,-2.7048e-25,0.368,0.31031,0.98979,0.6,0.168,0
1.0144,-0.0057871,-1.7732e-25,0.37,0.29073,0.96632,0.6,0.17,0
1.0143,-0.0058253,-6.6984e-24,0.372,0.27115,0.94266,0.6,0.172,0
1.0141,-0.0058573,-9.2931e-24,0.374,0.25157,0.91893,0.6,0.174,0
1.0138,-0.0058771,-3.6256e-24,0.376,0.232,0.89504,0.6,0.176,0
1.0133,-0.005885,2.7981e-24,0.378,0.21243,0.87099,0.6,0.178,0
1.0128,-0.0058868,9.6018e-24,0.38,0.19286,0.84685,0.6,0.18,0
1.012,-0.0058728,3.2005e-26,0.382,0.17329,0.82243,0.6,0.182,0
1.0111,-0.0058545,-6.475e-24,0.384,0.15372,0.7979,0.6,0.184,0
1.0101,-0.0058275,-6.5221e-24,0.386,0.13414,0.77318,0.6,0.186,0
1.0089,-0.005782,-3.9457e-24,0.388,0.11457,0.74829,0.6,0.188,0
1.0077,-0.0057271,-3.919e-26,0.39,0.095007,0.7233,0.6,0.19,0
1.0063,-0.00587,1.1776e-24,0.392,0.075361,0.698,0.6,0.192,0
1.0048,-0.0059313,1.9858e-24,0.394,0.055836,0.67279,0.6,0.194,0
1.0032,-0.0058271,1.9884e-24,0.396,0.036558,0.64776,0.6,0.196,0
1.0016,-0.0034768,1.1946e-24,0.398,0.018079,0.62365,0.6,0.198,0
1,0,0,0.4,0,0.6,0.6,0.2,0
